"","F3D0","F3D1","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","Mock"
"otu 120 ",0,0,0,0,0,0,0,0,0,0,8,0,37,22,16,11,0,0,0,0
"otu 121 ",10,0,4,7,6,0,6,16,13,13,9,5,3,0,0,0,0,0,0,0
"otu 122 ",11,6,0,0,0,0,0,0,13,0,11,9,12,0,5,8,0,9,7,0
"otu 123 ",0,0,0,0,0,0,0,17,0,0,0,0,21,0,0,20,0,0,33,0
"otu 124 ",34,15,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
"otu 125 ",0,0,10,0,0,0,0,11,8,9,32,19,0,0,0,0,0,0,0,0
"otu 126 ",16,15,0,0,0,0,0,0,10,0,18,10,0,0,0,0,0,16,0,0
"otu 127 ",10,7,0,0,0,0,0,0,0,0,0,0,35,12,0,0,0,9,11,0
"otu 128 ",0,0,10,0,12,0,0,0,0,0,26,11,13,12,0,0,0,0,0,0
"otu 129 ",0,0,0,0,0,0,0,0,0,24,43,12,0,0,0,0,0,0,0,0
"otu 130 ",19,18,0,0,0,0,0,7,0,0,0,0,30,0,0,0,0,0,0,0
"otu 131 ",0,0,0,0,0,0,0,12,13,11,12,7,0,0,0,14,0,0,0,0
"otu 132 ",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,17,14,14,0
"otu 133 ",0,31,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
"otu 134 ",0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,17,22,0
"otu 135 ",0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
"otu 136 ",0,26,0,0,0,0,0,21,0,0,0,0,17,0,0,0,0,0,0,0
"otu 137 ",19,7,0,0,0,0,0,11,0,0,0,0,10,0,9,0,0,0,7,0
"otu 138 ",7,0,6,0,0,0,0,0,0,0,0,0,39,0,9,0,0,0,0,0
"otu 139 ",0,9,0,0,0,0,0,0,0,0,0,10,9,0,0,13,0,11,7,0
"otu 140 ",0,0,6,0,0,0,0,0,0,11,17,0,0,0,0,0,0,10,15,0
"otu 141 ",17,11,0,0,0,0,0,0,0,0,0,0,21,0,0,9,0,0,0,0
